YearMonthDay,Tmax,Tmin,Tavg,Depart,PrecipTotal,Heat
01/01/2005,41,25.0,33.0,10.0,0.25,32.0
01/02/2005,54,33.0,44.0,21.0,0.03,21.0
01/03/2005,36,32.0,34.0,11.0,0.16,31.0
01/04/2005,35,30.0,33.0,11.0,0.05,32.0
01/05/2005,31,26.0,29.0,7.0,0.05,36.0
01/06/2005,27,12.0,20.0,-2.0,0.19,45.0
01/07/2005,28,7.0,18.0,-4.0,  T,47.0
01/08/2005,27,24.0,26.0,4.0,  T,39.0
01/09/2005,34,26.0,30.0,8.0,  T,35.0
01/10/2005,35,29.0,32.0,10.0,  T,33.0
01/11/2005,36,33.0,35.0,13.0,0.13,30.0
01/12/2005,62,34.0,48.0,26.0,0.89,17.0
01/13/2005,46,15.0,31.0,10.0,0.54,34.0
01/14/2005,15,4.0,10.0,-11.0,0.00,55.0
01/15/2005,15,4.0,10.0,-11.0,0.00,55.0
01/16/2005,14,3.0,9.0,-12.0,0.00,56.0
01/17/2005,11,2.0,7.0,-14.0,0.00,58.0
01/18/2005,23,1.0,12.0,-9.0,  T,53.0
01/19/2005,35,23.0,29.0,7.0,0.01,36.0
01/20/2005,28,23.0,26.0,4.0,  T,39.0
01/21/2005,24,17.0,21.0,-1.0,  T,44.0
01/22/2005,23,11.0,17.0,-5.0,  T,48.0
01/23/2005,23,8.0,16.0,-6.0,0.12,49.0
01/24/2005,31,21.0,26.0,4.0,0.11,39.0
01/25/2005,43,23.0,33.0,11.0,0.00,32.0
01/26/2005,35,17.0,26.0,4.0,0.02,39.0
01/27/2005,21,5.0,13.0,-9.0,  T,52.0
01/28/2005,27,2.0,15.0,-7.0,0.01,50.0
01/29/2005,35,20.0,28.0,5.0,0.03,37.0
01/30/2005,35,25.0,30.0,7.0,0.00,35.0
01/31/2005,37,19.0,28.0,5.0,0.00,37.0
02/01/2005,34,22.0,28.0,5.0,0.00,37.0
02/02/2005,36,16.0,26.0,3.0,0.00,39.0
02/03/2005,44,15.0,30.0,6.0,0.00,35.0
02/04/2005,50,22.0,36.0,12.0,0.00,29.0
02/05/2005,55,36.0,46.0,22.0,0.00,19.0
02/06/2005,47,39.0,43.0,19.0,0.06,22.0
02/07/2005,45,33.0,39.0,14.0,0.19,26.0
02/08/2005,33,25.0,29.0,4.0,  T,36.0
02/09/2005,31,24.0,28.0,3.0,0.01,37.0
02/10/2005,32,22.0,27.0,1.0,  T,38.0
02/11/2005,42,23.0,33.0,7.0,0.01,32.0
02/12/2005,51,33.0,42.0,16.0,0.00,23.0
02/13/2005,41,35.0,38.0,12.0,0.54,27.0
02/14/2005,49,37.0,43.0,16.0,0.14,22.0
02/15/2005,42,33.0,38.0,11.0,0.20,27.0
02/16/2005,33,26.0,30.0,3.0,  T,35.0
02/17/2005,27,16.0,22.0,-6.0,  T,43.0
02/18/2005,26,11.0,19.0,-9.0,0.00,46.0
02/19/2005,41,22.0,32.0,4.0,  T,33.0
02/20/2005,37,31.0,34.0,5.0,0.36,31.0
02/21/2005,36,33.0,35.0,6.0,0.00,30.0
02/22/2005,36,21.0,29.0,0.0,  T,36.0
02/23/2005,36,20.0,28.0,-2.0,0.00,37.0
02/24/2005,36,27.0,32.0,2.0,  T,33.0
02/25/2005,41,27.0,34.0,4.0,  T,31.0
02/26/2005,33,25.0,29.0,-2.0,  T,36.0
02/27/2005,40,26.0,33.0,2.0,0.20,32.0
02/28/2005,35,26.0,31.0,0.0,0.32,34.0
03/01/2005,27,19.0,23.0,-9.0,  T,42.0
03/02/2005,27,13.0,20.0,-12.0,0.00,45.0
03/03/2005,34,14.0,24.0,-9.0,0.00,41.0
